Date,Script-name,Open Price,High Price,Low Price,Close Price,No.of Shares
2023-03-10,bharti,773,778.95,768,773.7,146953
2023-03-09,bharti,795.25,795.5,770.4,773.85,120966
2023-03-08,bharti,765,769.65,760.85,766.45,50723
2023-03-06,bharti,766,775.75,765.2,766.5,64190
2023-03-03,bharti,743.95,766.05,743.9,764.6,107580
2023-03-02,bharti,745.05,750.3,736.2,740.2,48948
2023-03-01,bharti,743,753.5,741.2,750.2,69054
2023-02-28,bharti,756,757.4,739.5,742.95,42752
2023-02-27,bharti,756.75,756.75,738.85,752.85,99462
2023-02-24,bharti,769.4,774.65,755.1,757.2,59594
2023-02-23,bharti,773,777.45,761.6,762.55,65892
2023-02-22,bharti,775.05,781.65,766.75,772.55,62730
2023-02-21,bharti,779.15,787.9,778.2,779.1,33426
2023-02-20,bharti,780.35,793.45,777.25,779.1,53877
2023-02-17,bharti,785.1,787.35,770.05,776.45,47839
2023-02-16,bharti,790,790,781.45,784.9,33014
2023-02-15,bharti,772.05,787,772.05,784.95,78530
2023-02-14,bharti,768,777.45,766.05,775.35,33099
2023-02-13,bharti,768.15,779.55,766.95,767.9,54350
2023-02-10,bharti,768.5,773.15,761.05,770.55,41671
2023-02-09,bharti,772.45,774.95,761.35,766.55,92072
2023-02-08,bharti,786.5,786.5,765.05,775.1,248835
2023-02-07,bharti,791.4,795.45,783.05,785.35,110971
2023-02-06,bharti,785.05,794.5,778.9,789.4,53026
2023-02-03,bharti,778,794.85,778,793.05,35469
2023-02-02,bharti,756.05,781.1,756.05,777.5,42226
2023-02-01,bharti,775,784.25,756.8,768.35,44697
2023-01-31,bharti,770.5,778.95,768.45,770.25,50966
2023-01-30,bharti,773.95,774.55,763,770.35,32326
2023-01-27,bharti,772.05,778.5,765.9,774.45,41573
2023-01-25,bharti,776.05,780.3,768.5,776.25,86436
2023-01-24,bharti,770,777.15,760.85,775.5,117621
2023-01-23,bharti,765.35,776,764.5,772.7,39152
2023-01-20,bharti,775,775.35,758.3,764.4,38419
2023-01-19,bharti,774.25,775.95,765.75,771.9,45533
2023-01-18,bharti,766.05,779.5,766.05,776.85,97739
2023-01-17,bharti,758.95,768.6,758.9,765.95,104174
2023-01-16,bharti,766,768,754.65,758.9,143242
2023-01-13,bharti,758.35,765.85,752.4,764.4,94014
2023-01-12,bharti,763.9,769.15,753.6,756.85,105217
2023-01-11,bharti,778.95,778.95,752,765.4,385788
2023-01-10,bharti,826,826,790.35,792.85,91921
2023-01-09,bharti,804.95,821.2,801.3,819.3,91259
2023-01-06,bharti,807.1,812,792,796.6,36838
2023-01-05,bharti,820.15,821.05,804,806.85,32501
2023-01-04,bharti,817.65,820.55,806.55,811.4,68478
2023-01-03,bharti,808.6,818.5,808.6,817.6,79644
2023-01-02,bharti,807,816,806,813.6,61448
2022-12-30,bharti,822.65,824.5,805,806.7,46752
2022-12-29,bharti,805.2,824.4,800.4,819.45,82374
2022-12-28,bharti,813,814.15,801.6,803.45,37158
2022-12-27,bharti,811.35,819.15,805,814.75,53574
2022-12-26,bharti,802.65,815.25,801.75,811.2,54802
2022-12-23,bharti,806.1,817.65,805.2,808.3,152220
2022-12-22,bharti,817,824.45,809.4,816.9,58310
2022-12-21,bharti,834.6,834.6,812.45,813.75,52726
2022-12-20,bharti,840.4,840.4,822,827.55,109013
2022-12-19,bharti,822,844.8,822,839.8,97055
2022-12-16,bharti,823.05,832.5,819.5,822.05,98976
2022-12-15,bharti,830,830.8,824.5,826.1,89819
2022-12-14,bharti,839,842,828.55,828.9,132698
2022-12-13,bharti,827.35,840,823.2,838.1,133640
2022-12-12,bharti,831.25,837,825.5,827.9,171191
2022-12-09,bharti,830,836.2,824,835,204020
2022-12-08,bharti,834,840.2,826.4,833.05,267528
2022-12-07,bharti,838,841.5,832,834.4,68759
2022-12-06,bharti,845,845.45,829.75,833.2,233531
2022-12-05,bharti,846,850.55,840.8,843.9,52022
2022-12-02,bharti,848.5,852,839.45,848.85,52171
2022-12-01,bharti,850,853,841.6,848,208307
2022-11-30,bharti,835,852.05,832.45,848.65,60718
2022-11-29,bharti,838.15,844.85,835.05,835.7,211458
2022-11-28,bharti,838.5,852.5,836.05,837.45,36491
