Date,Script_name,Open Price,High Price,Low Price,Close Price,No.of Shares
2023-03-10,infy,1460,1474.5,1457.1,1471.35,258683
2023-03-09,infy,1495.2,1498.6,1475,1480.75,111080
2023-03-08,infy,1488,1494.75,1481.45,1492.5,162872
2023-03-06,infy,1489.9,1520,1489.9,1507.55,412843
2023-03-03,infy,1489,1489,1473.6,1479.8,99630
2023-03-02,infy,1489.95,1489.95,1467.9,1472.1,239355
2023-03-01,infy,1492,1501,1481.75,1496.65,179213
2023-02-28,infy,1519.4,1523.8,1481.3,1487.3,277427
2023-02-27,infy,1544.95,1544.95,1502.05,1509.4,289455
2023-02-24,infy,1555.05,1569,1546.7,1551.45,327566
2023-02-23,infy,1570,1570,1548,1551.5,220637
2023-02-22,infy,1564,1575,1556.05,1562.55,155848
2023-02-21,infy,1599,1601.15,1575.9,1579.25,243750
2023-02-20,infy,1589,1602.45,1582.6,1593.25,134312
2023-02-17,infy,1585,1595,1575.3,1583.45,217686
2023-02-16,infy,1600.1,1613.95,1598.25,1601.95,160476
2023-02-15,infy,1584,1599,1576.35,1596.85,83405
2023-02-14,infy,1582.05,1595.7,1578.75,1592.65,263839
2023-02-13,infy,1598,1598,1565.6,1567.4,190795
2023-02-10,infy,1610.05,1616.25,1596.2,1607.95,337838
2023-02-09,infy,1590,1620,1586.5,1617.7,106748
2023-02-08,infy,1560.05,1602.55,1560.05,1589.7,194871
2023-02-07,infy,1561.05,1576,1558,1562.35,202811
2023-02-06,infy,1598,1598,1561.9,1570.5,173063
2023-02-03,infy,1592.25,1604.4,1573.35,1599.15,231674
2023-02-02,infy,1553.7,1586.75,1552.25,1583.3,196746
2023-02-01,infy,1540,1555,1528.2,1549.45,250270
2023-01-31,infy,1546,1547.6,1513,1533.15,169268
2023-01-30,infy,1529,1543.75,1520.05,1539.1,169179
2023-01-27,infy,1543,1550.8,1507.65,1518.25,1405587
2023-01-25,infy,1540,1555.5,1539,1542.9,140057
2023-01-24,infy,1558.3,1568.8,1549.35,1552.35,659044
2023-01-23,infy,1534,1552.9,1528.7,1547.8,165777
2023-01-20,infy,1539,1544.25,1523.45,1525.45,254460
2023-01-19,infy,1539.8,1549.4,1526,1541.3,230673
2023-01-18,infy,1547,1551.3,1539.2,1545.05,252897
2023-01-17,infy,1527,1542,1525.35,1539.75,246785
2023-01-16,infy,1514,1528,1502.5,1525.25,153469
2023-01-13,infy,1489.95,1519.2,1468,1503.5,284508
2023-01-12,infy,1482,1485,1455.25,1480.55,227373
2023-01-11,infy,1470,1494,1463.4,1471.45,300306
2023-01-10,infy,1484.4,1484.4,1454.4,1470.4,237178
2023-01-09,infy,1444,1489.1,1444,1484.5,306433
2023-01-06,infy,1470,1474.6,1447,1448.85,295849
2023-01-05,infy,1501,1505,1470,1475.2,424766
2023-01-04,infy,1522.9,1522.9,1492.05,1494.9,337920
2023-01-03,infy,1521,1533,1515.3,1522.55,230194
2023-01-02,infy,1513,1526.3,1505,1524.3,137286
2022-12-30,infy,1525.15,1530,1504,1508.7,241378
2022-12-29,infy,1502,1521,1501.2,1517.5,198502
2022-12-28,infy,1505,1524.95,1498.85,1510.85,209070
2022-12-27,infy,1510,1521.1,1498.15,1515.5,116275
2022-12-26,infy,1497.65,1509.9,1496.15,1502.25,334290
2022-12-23,infy,1508,1509.8,1493.6,1497.55,230918
2022-12-22,infy,1517.55,1529,1512.2,1521.05,368699
2022-12-21,infy,1513,1520.4,1502.75,1509.8,332510
2022-12-20,infy,1504,1517.45,1483,1507.5,319447
2022-12-19,infy,1515,1516.5,1494.95,1507.6,250910
2022-12-16,infy,1529.8,1548.95,1512,1522.35,223899
2022-12-15,infy,1567,1570.45,1535.6,1539.4,292813
2022-12-14,infy,1578,1588.1,1572.2,1580.25,327721
2022-12-13,infy,1548,1577.7,1541.6,1572.7,86952
2022-12-12,infy,1557,1565.6,1530.9,1547.1,264702
2022-12-09,infy,1625,1629.9,1562,1568.85,305494
2022-12-08,infy,1605.05,1623.1,1598.4,1619.95,133271
2022-12-07,infy,1612.95,1623.9,1597.25,1605.05,98339
2022-12-06,infy,1621,1625,1607.5,1612.85,157913
2022-12-05,infy,1634.5,1644.5,1623,1640.5,124491
2022-12-02,infy,1652.2,1661,1634.1,1638.55,146313
2022-12-01,infy,1652,1672.45,1652,1657.6,123733
2022-11-30,infy,1620,1645,1613.7,1632.4,116325
2022-11-29,infy,1618.9,1638.4,1615,1628.3,61629
2022-11-28,infy,1628,1653,1619.85,1623.25,81518
2022-11-25,infy,1629.8,1643.9,1608.65,1630.75,322432
2022-11-24,infy,1588,1635,1584.6,1629.8,554402
2022-11-23,infy,1592,1592,1579.3,1583.4,187421
2022-11-22,infy,1567.2,1587.95,1562.1,1585.6,60326
2022-11-21,infy,1589.5,1589.5,1565,1567.2,53427
2022-11-18,infy,1592,1598,1575.85,1592.9,50234
2022-11-17,infy,1595,1602.95,1583.4,1586.85,52234
2022-11-16,infy,1594,1608.75,1592.85,1602.2,94045
2022-11-15,infy,1560.05,1597.25,1560.05,1593.7,420847
2022-11-14,infy,1572,1591,1569,1584,5033633
2022-11-11,infy,1535.25,1573,1535.25,1570.05,872891
2022-11-10,infy,1482,1511.4,1482,1502.25,60655
2022-11-09,infy,1527,1527,1501,1510.25,66752
2022-11-07,infy,1515,1526.95,1491,1507.05,80924
2022-11-04,infy,1522.7,1522.7,1501.25,1513.9,89276
