Date,Script_name,Open Price,High Price,Low Price,Close Price,No.of Shares
2023-03-10,reliance,2343.3,2343.3,2315.2,2323.15,337306
2023-03-09,reliance,2419.9,2419.9,2356.15,2360.15,299619
2023-03-08,reliance,2401.2,2420,2386.45,2417.55,99782
2023-03-06,reliance,2395,2424.5,2395,2407.8,168847
2023-03-03,reliance,2344,2393,2340.9,2385.05,266949
2023-03-02,reliance,2331,2350.8,2321.7,2327.85,89972
2023-03-01,reliance,2342.2,2345.5,2323.55,2343.25,183724
2023-02-28,reliance,2375,2375,2314.75,2321.95,300235
2023-02-27,reliance,2378.6,2389,2352.45,2369.1,247454
2023-02-24,reliance,2375,2395.6,2368.65,2385.8,249650
2023-02-23,reliance,2376,2394.95,2361.5,2367.55,265844
2023-02-22,reliance,2428,2430,2376.05,2379,288637
2023-02-21,reliance,2421,2446,2412.45,2434.5,167774
2023-02-20,reliance,2440.4,2449.45,2410.35,2415.3,221415
2023-02-17,reliance,2424.95,2446.9,2410.6,2439.85,105936
2023-02-16,reliance,2450,2463,2425,2429.65,277368
2023-02-15,reliance,2387.8,2437,2375,2430.1,367072
2023-02-14,reliance,2325.2,2381,2324,2377.4,124813
2023-02-13,reliance,2337.6,2350,2314.05,2322.75,79836
2023-02-10,reliance,2357,2357,2321.6,2336.35,127318
2023-02-09,reliance,2357.35,2370.8,2334.05,2355.4,88852
2023-02-08,reliance,2311.3,2359.6,2307.15,2351.8,268850
2023-02-07,reliance,2312,2327,2293.1,2305.9,225094
2023-02-06,reliance,2325,2325,2306.75,2311.5,206263
2023-02-03,reliance,2345,2347.9,2293.2,2329.05,148804
2023-02-02,reliance,2325,2347.7,2311.35,2326.8,104181
2023-02-01,reliance,2380,2380.9,2305,2338.05,573669
2023-01-31,reliance,2385,2386.1,2341.7,2353.9,100296
2023-01-30,reliance,2337.75,2369.4,2301.15,2351.3,1392194
2023-01-27,reliance,2381.95,2388.05,2312.1,2337.75,452582
2023-01-25,reliance,2410,2414.8,2381,2382.95,103914
2023-01-24,reliance,2432.5,2443.9,2388.65,2415.15,349349
2023-01-23,reliance,2450,2466,2426,2429.6,213860
2023-01-20,reliance,2481.7,2481.7,2438.1,2442.7,174012
2023-01-19,reliance,2474.2,2480.95,2457.5,2471.1,201558
2023-01-18,reliance,2479,2491.5,2460.45,2474.6,126814
2023-01-17,reliance,2453.15,2483.5,2452,2478.55,186970
2023-01-16,reliance,2474.9,2479.75,2436.05,2444.7,140006
2023-01-13,reliance,2468.6,2473.2,2434.8,2467.35,248982
2023-01-12,reliance,2525,2531.9,2465.65,2472.1,185343
2023-01-11,reliance,2555.2,2558.2,2522,2525.5,127795
2023-01-10,reliance,2604.05,2605,2546.05,2557.95,152642
2023-01-09,reliance,2543.7,2601.8,2539.1,2596.55,298492
2023-01-06,reliance,2529,2547.5,2518.65,2537.25,113594
2023-01-05,reliance,2525,2536,2504.25,2513.5,143907
2023-01-04,reliance,2559,2559.6,2514.85,2518.15,172926
2023-01-03,reliance,2567.7,2573,2548.05,2557,136124
2023-01-02,reliance,2556.9,2580,2548.2,2575.15,174612
2022-12-30,reliance,2547,2576.9,2542.55,2548.2,77470
2022-12-29,reliance,2532.05,2549,2526.5,2542.55,157229
2022-12-28,reliance,2535.9,2549.9,2521.25,2544.45,168925
