Date,Script_name,Open Price,High Price,Low Price,Close Price,No.of Shares
2023-03-10,tatasteel,107.5,108.35,106.6,108.05,1753556
2023-03-09,tatasteel,107.6,108.95,107.45,108.2,3776802
2023-03-08,tatasteel,105.3,106.95,103.9,106.55,1517735
2023-03-06,tatasteel,107.2,107.7,105.05,105.65,1973758
2023-03-03,tatasteel,105.75,107.4,105.05,106.95,3357351
2023-03-02,tatasteel,105.85,106.9,104.35,104.65,1903955
2023-03-01,tatasteel,104.35,107.1,104.35,105.5,2109745
2023-02-28,tatasteel,106.6,107.05,103.7,103.95,2074518
2023-02-27,tatasteel,109.8,109.95,105.2,106.1,3837980
2023-02-24,tatasteel,112.5,112.85,109.55,109.8,1748290
2023-02-23,tatasteel,111.3,113.7,111.3,111.9,1512761
2023-02-22,tatasteel,113.05,113.65,110.65,111.15,2528641
2023-02-21,tatasteel,112.7,114.15,112.7,113.2,1589193
2023-02-20,tatasteel,112.55,112.75,111.05,112.35,2335671
2023-02-17,tatasteel,111.8,113.1,111.35,112.3,3186663
2023-02-16,tatasteel,110.35,112.2,110.35,112,2681342
2023-02-15,tatasteel,108.9,110.6,108.8,110.35,1674034
2023-02-14,tatasteel,109.5,109.9,108.3,109.25,2690788
2023-02-13,tatasteel,108.95,110.6,108.45,108.8,2306040
2023-02-10,tatasteel,111.05,111.05,108.3,108.8,2077013
2023-02-09,tatasteel,111.8,112.95,109.95,111.25,4795924
2023-02-08,tatasteel,111.4,112.7,110.05,111.5,8634481
2023-02-07,tatasteel,112,115.3,110.55,111.45,8882368
2023-02-06,tatasteel,120,120,117.05,117.6,1869435
2023-02-03,tatasteel,120,120.95,117.2,120.1,2091368
2023-02-02,tatasteel,122,122.45,118.4,119.9,1535468
2023-02-01,tatasteel,120,124.15,119.35,122.05,4241140
2023-01-31,tatasteel,118.7,120.4,117.85,119.65,2315624
2023-01-30,tatasteel,120.6,121.05,116.9,118.7,2244982
2023-01-27,tatasteel,121.6,123.2,119.1,120.65,2413700
