Date,Script_name,Open Price,High Price,Low Price,Close Price,No.of Shares
2023-03-10,tcs,3311,3337,3295,3331.05,54663
2023-03-09,tcs,3389.7,3389.7,3329,3337.45,48171
2023-03-08,tcs,3361,3395,3331.7,3389.7,30873
2023-03-06,tcs,3356,3404,3356,3371.5,57870
2023-03-03,tcs,3360,3360,3331,3342.75,15677
2023-03-02,tcs,3369.95,3369.95,3318,3321.15,48727
2023-03-01,tcs,3326.5,3389.05,3320,3385.85,48789
2023-02-28,tcs,3331.85,3392,3300.05,3314.15,56090
2023-02-27,tcs,3397.9,3397.9,3317.3,3331.85,30683
2023-02-24,tcs,3421.2,3434,3382.55,3400.05,35329
2023-02-23,tcs,3410.5,3453.75,3408,3414.1,41914
2023-02-22,tcs,3424.9,3447.55,3395.1,3400.55,41593
2023-02-21,tcs,3489,3507.95,3445,3449.4,102243
2023-02-20,tcs,3506,3522,3475.2,3486.1,43050
2023-02-17,tcs,3525,3536.75,3489.95,3499.65,50877
2023-02-16,tcs,3530,3575,3526,3553.95,57676
2023-02-15,tcs,3490,3525,3460.45,3518.9,30042
2023-02-14,tcs,3499,3524.2,3496.1,3499.15,141270
2023-02-13,tcs,3548,3548,3475,3482.75,26143
2023-02-10,tcs,3512.05,3541.15,3506.65,3535.45,48411
2023-02-09,tcs,3518.7,3547.95,3504,3541.15,32844
2023-02-08,tcs,3472,3539.5,3472,3518.7,50900
2023-02-07,tcs,3464,3492,3460.15,3470.65,80033
2023-02-06,tcs,3475,3475,3437,3460,21416
2023-02-03,tcs,3492.6,3498,3452.45,3481.85,125650
2023-02-02,tcs,3407.05,3468.3,3407.05,3461.95,48456
2023-02-01,tcs,3380,3418,3355.6,3407.65,43182
2023-01-31,tcs,3442.05,3444.85,3347.7,3357.45,79115
2023-01-30,tcs,3413.55,3457.95,3387.15,3435.4,59893
2023-01-27,tcs,3430,3447,3382.15,3410.4,91518
2023-01-25,tcs,3425,3435.95,3405.7,3431.55,39744
2023-01-24,tcs,3423,3451.75,3416.1,3435.85,55283
2023-01-23,tcs,3375.3,3418,3358,3414,46966
2023-01-20,tcs,3369.7,3393.8,3356.2,3361.65,46357
2023-01-19,tcs,3380,3387.1,3360.55,3372.4,77208
2023-01-18,tcs,3373.55,3407.65,3371,3390.55,107557
2023-01-17,tcs,3334,3383,3319.75,3378.85,121563
2023-01-16,tcs,3320,3352.4,3298.75,3334.4,64489
2023-01-13,tcs,3349,3379.1,3305.2,3374.2,98757
2023-01-12,tcs,3333,3350,3316,3334.6,83856
2023-01-11,tcs,3289,3349,3272,3328.85,72414
2023-01-10,tcs,3290,3292.5,3231,3286.2,94932
2023-01-09,tcs,3243.9,3327.8,3215.3,3319.7,169062
2023-01-06,tcs,3300,3300.05,3200,3212,91907
2023-01-05,tcs,3330,3336.1,3283.1,3310.35,54074
2023-01-04,tcs,3304,3326.85,3286.85,3314.05,42280
2023-01-03,tcs,3260,3319.55,3247.7,3310.85,45996
